user_id,title_id,watch_duration_minutes,device,region,event_timestamp
90,1315303,56,laptop,EU,2026-01-03T18:21:29.282803
458,1366745,65,laptop,EU,2026-01-05T05:51:29.282823
100,1366745,114,mobile,US,2026-01-08T03:05:29.282829
482,1234821,130,mobile,US,2026-01-13T07:18:29.282834
110,1539104,23,tv,US,2026-01-04T15:22:29.282839
344,1412598,106,laptop,LATAM,2026-01-19T18:31:29.282844
456,1266990,25,laptop,LATAM,2026-01-27T13:21:29.282849
44,1236153,177,tv,US,2026-01-19T12:55:29.282854
319,1043197,169,laptop,LATAM,2026-01-24T11:47:29.282859
347,19995,149,mobile,EU,2026-01-13T19:03:29.282864
436,1010581,121,mobile,US,2026-01-08T15:04:29.282869
332,1234731,166,tv,LATAM,2026-01-08T22:47:29.282873
380,76600,136,laptop,ASIA,2026-01-03T11:21:29.282880
448,1326878,75,tv,ASIA,2026-01-22T14:47:29.282885
92,1083637,29,tv,LATAM,2026-01-11T18:40:29.282890
497,1083637,12,tablet,LATAM,2026-01-26T11:25:29.282894
404,1195518,33,laptop,EU,2026-01-11T09:16:29.282899
309,1010581,74,mobile,US,2026-01-04T17:03:29.282903
327,1220564,47,laptop,US,2026-01-04T21:32:29.282908
489,1228246,39,laptop,LATAM,2026-01-19T17:07:29.282913
68,24428,26,tv,US,2026-01-14T14:33:29.282917
388,533533,108,tv,LATAM,2026-01-04T00:24:29.282922
87,617126,15,laptop,ASIA,2026-01-21T02:03:29.282927
26,1327881,118,tablet,LATAM,2026-01-19T16:43:29.282932
393,1327881,163,laptop,US,2026-01-04T14:26:29.282937
260,533533,59,mobile,US,2026-01-16T05:09:29.282942
10,83533,113,tablet,LATAM,2026-01-12T09:16:29.282947
199,1154725,37,tablet,EU,2026-01-09T09:00:29.282951
56,1220564,102,mobile,EU,2026-01-21T10:13:29.282956
37,1403735,164,tablet,ASIA,2026-01-03T21:51:29.282960
489,83533,114,tablet,LATAM,2026-01-27T10:12:29.282965
370,1511417,78,tv,EU,2026-01-23T05:11:29.282969
418,803796,123,laptop,US,2026-01-08T20:05:29.282974
3,1311031,49,mobile,ASIA,2026-01-21T04:48:29.282979
203,680493,25,tablet,LATAM,2026-01-03T21:51:29.282983
454,772462,133,mobile,EU,2026-01-14T18:05:29.282988
111,1220564,176,laptop,ASIA,2026-01-09T06:42:29.282992
395,1306368,161,mobile,LATAM,2026-01-02T03:42:29.282997
121,114155,162,tablet,LATAM,2026-01-25T10:38:29.283003
59,617126,143,tv,EU,2026-01-03T18:27:29.283007
160,1220564,22,laptop,ASIA,2026-01-16T04:48:29.283012
320,1491902,66,tablet,EU,2026-01-25T03:25:29.283017
152,1539104,141,tv,EU,2026-01-20T08:11:29.283021
183,803796,64,tv,ASIA,2026-01-22T05:11:29.283026
413,1220564,16,tv,EU,2026-01-13T01:10:29.283031
48,575265,115,mobile,LATAM,2025-12-31T21:46:29.283035
255,1198994,136,laptop,US,2026-01-01T04:29:29.283040
385,1246049,44,tablet,US,2026-01-24T05:46:29.283045
117,144613,135,tv,LATAM,2026-01-17T12:20:29.283050
327,1301122,59,tv,LATAM,2026-01-23T01:06:29.283054
436,76600,164,laptop,LATAM,2025-12-31T01:46:29.283059
445,1010581,58,tv,EU,2026-01-10T11:52:29.283064
406,83533,125,tablet,US,2026-01-10T03:11:29.283069
3,982843,131,mobile,EU,2026-01-23T06:11:29.283075
449,1234731,83,tv,US,2026-01-10T18:17:29.283079
33,1387382,37,tv,LATAM,2026-01-05T17:21:29.283084
46,1512623,126,laptop,ASIA,2026-01-03T23:55:29.283089
259,1336189,17,tablet,LATAM,2026-01-27T04:31:29.283093
267,1242898,109,laptop,EU,2026-01-07T09:10:29.283098
137,1359607,119,mobile,LATAM,2026-01-23T06:10:29.283103
276,1013446,162,tablet,EU,2026-01-14T10:04:29.283107
238,1208348,21,tv,EU,2026-01-02T05:27:29.283112
6,980477,67,laptop,US,2025-12-31T06:13:29.283116
306,269149,174,tv,EU,2026-01-06T23:56:29.283121
297,1491902,10,tablet,LATAM,2026-01-03T14:33:29.283127
89,1242501,91,tv,LATAM,2026-01-01T17:46:29.283131
348,1247002,100,laptop,ASIA,2026-01-09T00:04:29.283136
111,1220564,59,tv,ASIA,2026-01-17T13:50:29.283140
182,1233413,76,tablet,US,2026-01-16T02:11:29.283145
300,1154725,151,laptop,LATAM,2026-01-25T01:01:29.283150
107,1228246,67,tablet,US,2026-01-03T23:26:29.283154
470,1195518,134,tv,ASIA,2026-01-18T11:52:29.283159
22,1252037,60,laptop,LATAM,2026-01-18T08:26:29.283164
161,1575337,27,mobile,ASIA,2025-12-29T19:58:29.283169
407,1387382,156,tv,ASIA,2026-01-27T11:52:29.283175
241,1220564,36,mobile,ASIA,2026-01-20T00:48:29.283180
72,269149,13,tablet,US,2026-01-05T01:58:29.283184
492,1326878,164,mobile,US,2026-01-24T19:00:29.283190
398,1154725,116,tv,US,2026-01-23T23:11:29.283195
335,1317288,84,tv,EU,2025-12-29T23:50:29.283229
229,1195518,122,tablet,US,2026-01-15T04:32:29.283233
455,1242501,10,tv,EU,2026-01-07T21:26:29.283238
229,1131759,63,mobile,US,2026-01-06T07:20:29.283242
109,1443762,43,mobile,US,2026-01-18T05:13:29.283247
78,1439112,30,laptop,US,2026-01-07T10:33:29.283251
451,755898,176,laptop,US,2026-01-25T06:16:29.283255
240,1208348,37,laptop,EU,2026-01-16T22:37:29.283260
208,1083637,155,laptop,ASIA,2026-01-05T03:59:29.283264
90,1313003,52,mobile,US,2026-01-24T04:06:29.283269
